ClaimID,ScenarioID,CustomerID,ProductID,ProductCategory,Brand,ModelNumber,SerialNumber,PurchaseDate,ClaimDate,FaultDate,WarrantyDurationMonths,WarrantyExpiryDate,WarrantyStatus,WarrantyRemainingDays,ExtendedWarranty,FaultType,DamageType,FaultCovered,ClaimReportingWithinPeriod,ReceiptAvailable,WarrantyCardAvailable,ProductImageAvailable,SerialEvidenceAvailable,FaultEvidenceAvailable,RepairReportAvailable,PreviousRepair,RepairCount,RepairAuthorized,PreviousReplacement,ReplacementWithinWarranty,SerialNumberMatch,ProductModelConsistent,DuplicateClaimIndicator,DocumentDuplicateIndicator,ContradictionIndicator,RequiredDocumentsComplete,PurchaseProofAvailable,PriorClaimCount,ClaimAmount,PreviousRepairCost,OCRConfidence,ClaimSubmissionChannel,ClaimClass
CLM00001,VALID_01,CUS00001,PROD00001,Television,Aster,AST-TEL-0001,SN-2026-000001,2023-03-24,2023-05-24,2023-05-22,12,2024-03-24,Active,305,No,Mechanical Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,425.62,287.04,0.913,Web,Valid Claim
CLM00002,VALID_02,CUS00002,PROD00002,Washing Machine,PrimeView,PRI-WAS-0002,SN-2026-000002,2023-05-28,2023-09-28,2023-09-17,24,2025-05-28,Active,608,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,708.37,0.0,0.906,Web,Valid Claim
CLM00003,VALID_03,CUS00003,PROD00003,Refrigerator,NovaTech,NOV-REF-0003,SN-2026-000003,2024-07-31,2025-11-30,2025-11-21,36,2027-07-31,Active,608,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2746.69,682.13,0.987,Service Center,Valid Claim
CLM00004,VALID_04,CUS00004,PROD00004,Printer,PrimeView,PRI-PRI-0004,SN-2026-000004,2023-08-08,2024-06-08,2024-06-07,36,2026-08-08,Active,791,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1034.69,924.31,0.924,Mobile App,Valid Claim
CLM00005,VALID_05,CUS00005,PROD00005,Television,NovaTech,NOV-TEL-0005,SN-2026-000005,2024-12-15,2025-03-15,2025-03-10,12,2025-12-15,Active,275,Yes,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,621.02,0.0,0.918,Service Center,Valid Claim
CLM00006,VALID_06,CUS00006,PROD00006,Smartphone,Aster,AST-SMA-0006,SN-2026-000006,2024-07-27,2025-06-27,2025-06-15,36,2027-07-27,Active,760,Yes,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,241.52,0.0,0.955,Web,Valid Claim
CLM00007,VALID_07,CUS00007,PROD00007,Smartphone,Aster,AST-SMA-0007,SN-2026-000007,2024-04-01,2025-11-01,2025-10-25,36,2027-04-01,Active,516,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1727.59,0.0,0.971,Email,Valid Claim
CLM00008,VALID_08,CUS00008,PROD00008,Laptop,HomePro,HOM-LAP-0008,SN-2026-000008,2025-08-22,2025-11-22,2025-11-17,12,2026-08-22,Active,273,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2018.76,0.0,0.906,Email,Valid Claim
CLM00009,VALID_09,CUS00009,PROD00009,Camera,NovaTech,NOV-CAM-0009,SN-2026-000009,2023-11-05,2025-01-05,2025-01-04,24,2025-11-05,Active,304,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,904.41,0.0,0.959,Mobile App,Valid Claim
CLM00010,VALID_10,CUS00010,PROD00010,Printer,PrimeView,PRI-PRI-0010,SN-2026-000010,2025-04-29,2026-01-29,2026-01-22,12,2026-04-29,Active,90,No,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2580.73,0.0,0.9,Mobile App,Valid Claim
CLM00011,VALID_11,CUS00011,PROD00011,Camera,ZenCore,ZEN-CAM-0011,SN-2026-000011,2024-10-16,2026-04-16,2026-04-11,24,2026-10-16,Active,183,No,Noise,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,699.71,0.0,0.957,Web,Valid Claim
CLM00012,VALID_12,CUS00012,PROD00012,Smartphone,HomePro,HOM-SMA-0012,SN-2026-000012,2023-06-03,2023-09-03,2023-08-27,12,2024-06-03,Active,274,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1462.01,0.0,0.952,Service Center,Valid Claim
CLM00013,VALID_13,CUS00013,PROD00013,Smartphone,HomePro,HOM-SMA-0013,SN-2026-000013,2023-05-05,2024-01-05,2023-12-23,12,2024-05-05,Active,121,Yes,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,192.4,0.0,0.984,Mobile App,Valid Claim
CLM00014,VALID_14,CUS00014,PROD00014,Air Conditioner,Aster,AST-AIR-0014,SN-2026-000014,2025-07-23,2026-05-23,2026-05-13,24,2027-07-23,Active,426,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2272.11,0.0,0.917,Service Center,Valid Claim
CLM00015,VALID_15,CUS00015,PROD00015,Air Conditioner,PrimeView,PRI-AIR-0015,SN-2026-000015,2025-07-31,2026-01-31,2026-01-18,24,2027-07-31,Active,546,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,786.67,564.69,0.956,Mobile App,Valid Claim
CLM00016,VALID_16,CUS00016,PROD00016,Laptop,HomePro,HOM-LAP-0016,SN-2026-000016,2023-08-29,2025-07-29,2025-07-18,36,2026-08-29,Active,396,No,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,244.52,0.0,0.981,Email,Valid Claim
CLM00017,VALID_17,CUS00017,PROD00017,Camera,PrimeView,PRI-CAM-0017,SN-2026-000017,2025-08-04,2025-11-04,2025-10-24,12,2026-08-04,Active,273,No,Noise,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,659.99,0.0,0.935,Mobile App,Valid Claim
CLM00018,VALID_18,CUS00018,PROD00018,Washing Machine,NovaTech,NOV-WAS-0018,SN-2026-000018,2023-09-17,2026-04-17,2026-04-15,36,2026-09-17,Active,153,No,Overheating,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2959.2,0.0,0.967,Mobile App,Valid Claim
CLM00019,VALID_19,CUS00019,PROD00019,Laptop,Aster,AST-LAP-0019,SN-2026-000019,2023-12-09,2024-11-09,2024-11-06,24,2025-12-09,Active,395,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,282.88,0.0,0.951,Web,Valid Claim
CLM00020,VALID_20,CUS00020,PROD00020,Air Conditioner,ZenCore,ZEN-AIR-0020,SN-2026-000020,2023-04-10,2024-09-10,2024-09-04,24,2025-04-10,Active,212,No,Power Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1483.92,0.0,0.97,Email,Valid Claim
CLM00021,VALID_21,CUS00021,PROD00021,Washing Machine,Aster,AST-WAS-0021,SN-2026-000021,2024-11-18,2026-02-18,2026-02-09,36,2027-11-18,Active,638,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2523.0,0.0,0.941,Web,Valid Claim
CLM00022,VALID_22,CUS00022,PROD00022,Refrigerator,ZenCore,ZEN-REF-0022,SN-2026-000022,2024-02-24,2026-11-24,2026-11-12,36,2027-02-24,Active,92,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1364.12,958.29,0.905,Mobile App,Valid Claim
